Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
Gurinder Singh Sandhu,540,1,701,23,3-19,30.47,0,0,23.47,7.78,0.0425925926
Gurkeerat Singh,120,0,148,6,2-15,24.66,0,0,20,7.4,0.05
Harbhajan Singh,4302,12,4811,190,5-18,25.32,3,1,22.64,6.7,0.0441655044
HH Pandya,1009,4,1285,45,3-7,28.55,0,0,22.42,7.64,0.0445986125
Harmeet Singh Baddhan,24,0,34,1,1-34,34,0,0,24,8.5,0.0416666667
Harmeet Singh,594,0,773,27,3-24,28.62,0,0,22,7.8,0.0454545455
Harpreet Singh,126,1,113,6,2-15,18.83,0,0,21,5.38,0.0476190476
HV Patel,1211,2,1545,55,3-35,28.09,0,0,22.01,7.65,0.0454170107
HM Amla,2,0,5,0,0-1,NA,NA,NA,NA,15,0
S Randiv,1116,0,1380,57,4-25,24.21,1,0,19.57,7.41,0.0510752688
IK Pathan,3283,13,4123,161,5-13,25.6,2,1,20.39,7.53,0.0490405117
I Malhotra,96,0,134,4,2-14,33.5,0,0,24,8.37,0.0416666667
IR Jaggi,73,0,83,2,1-13,41.5,0,0,36.5,6.82,0.0273972603
I Sharma,2239,3,2932,84,5-12,34.9,1,1,26.65,7.85,0.0375167485
IC Pandey,900,5,1084,43,4-20,25.2,1,0,20.93,7.22,0.0477777778
Ishwar Haribhai Chaudhary,136,1,187,9,3-31,20.77,0,0,15.11,8.25,0.0661764706
JDP Oram,1839,5,2406,81,5-14,29.7,0,1,22.7,7.84,0.044045677
JH Kallis,2747,7,3482,114,4-15,30.54,2,0,24.09,7.6,0.041499818
J Suchith,432,1,564,18,3-2,31.33,0,0,24,7.83,0.0416666667
Jagrit Anand,19,0,34,0,0-9,NA,NA,NA,NA,10.73,0
Jalaj Sahay Saxena,611,1,714,32,5-16,22.31,1,1,19.09,7.01,0.0523731588
J Syed Mohammad,750,0,949,35,3-15,27.11,0,0,21.42,7.59,0.0466666667
JDS Neesham,991,1,1425,57,4-35,25,1,0,17.38,8.62,0.0575176589
JEC Franklin,2123,0,2931,96,5-21,30.53,1,1,22.11,8.28,0.0452190297
