A Ashish Reddy,Ammana Ashish Reddy
Swapnil Singh,Swapnil Kamlesh Singh
T Henderson,Tyron Henderson
T Kohli,Taruwar Kohli
T Taibu,Tatenda Taibu
T Thushara,Magina Thilan Thushara Mirando
TD Paine,Timothy David Paine
TG Southee,Timothy Grant Southee
TL Suman,Tirumalasetti Laxminarayana Suman
TM Dilshan,Tillakaratne Mudiyanselage Dilshan
TM Head,Travis Michael Head
TM Srivastava,Tanmay Manoj Srivastava
TR Birt,Travis Rodney Birt
U Kaul,Uday Kaul
UA Birla,Udit Alok Birla
UBT Chand,Unmukt Chand
UT Khawaja,Usman Tariq Khawaja
UT Yadav,Umeshkumar Tilak Yadav
Umar Gul,Umar Gul
V Kohli,Virat Kohli
V Pratap Singh,Veer Pratap Singh
V Sehwag,Virender Sehwag
VH Zol,Vijay Hari Zol
VR Aaron,Varun Raymond Aaron
VRV Singh,Vikram Rajvir Singh
VS Malik,Vikramjeet Malik
VS Yeligati,Vikrant Shyam Yeligati
VVS Laxman,Vangipurappu Venkata Sai Laxman
VY Mahesh,Vijaykumar Yo Mahesh
W Jaffer,Wasim Jaffer
WA Mota,Wilkin Arvind Mota
WD Parnell,Wayne Dillon Parnell
WP Saha,Wriddhaman Prasanta Saha
WPUJC Vaas,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas
X Thalaivan Sargunam,Xavier Thalaivan Sargunam
Y Gnaneswara Rao,Yalaka Gnaneswara Rao
Y Nagar,Yogesh Nagar
Y Venugopal Rao,Yalaka Venugopal Rao
YA Abdulla,Yusuf Adam Abdulla
YK Pathan,Yusuf Khan Pathan
YS Chahal,Yuzvendra Singh Chahal
YV Takawale,Yogesh Vijay Takawale
Yashpal Singh,Yashpal Singh
Younis Khan,Mohammad Younis Khan
Yuvraj Singh,Yuvraj Singh
Z Khan,Zaheer Khan
S Anirudha,Anirudh Srikkanth
S Vidyut,Vidyut Sivaramakrishnan
L Ablish,Lovesh Ablash
