Name,Balls,Maidens,Runs,Wickets,Best_Bowling,Average,5_Wicket_Hauls,10_Wicket_Hauls,Strike_Rate,Economy,WicketAvg
Rujul Haren Bhatt,329,0,391,13,3-15,30.07,0,0,25.3,7.13,0.0395136778
Ryan James Harris,1419,4,1750,81,4-34,21.6,1,0,17.51,7.39,0.0570824524
Ryan McLaren,3027,4,3996,140,5-19,28.54,2,1,21.62,7.92,0.046250413
Ryan Neil ten Doeschate,2011,1,2704,104,4-24,26,1,0,19.33,8.06,0.0517155644
Ryan Ninan,36,0,65,3,2-31,21.66,0,0,12,10.83,0.0833333333
Sachin Baby,94,0,133,3,2-4,44.33,0,0,31.33,8.48,0.0319148936
Sachin Ramesh Tendulkar,93,0,123,2,1-12,61.5,0,0,46.5,7.93,0.0215053763
Sachin Rana,357,0,403,20,3-22,20.15,0,0,17.85,6.77,0.056022409
Sahibzada Mohammad Shahid Khan Afridi,4842,9,5365,240,5-7,22.35,4,2,20.17,6.64,0.0495662949
Salman Butt,108,0,141,5,2-25,28.2,0,0,21.6,7.83,0.0462962963
Samuel Badree,3135,18,2933,146,5-22,20.08,1,1,21.47,5.61,0.0465709729
Sanath Teran Jayasuriya,1593,1,1983,77,4-24,25.75,1,0,20.68,7.46,0.0483364721
Sandeep Sharma,1268,9,1558,70,4-25,22.25,1,0,18.11,7.37,0.0552050473
Sanjay Bapusaheb Bangar,578,1,709,31,5-16,22.87,0,1,18.64,7.35,0.053633218
Sanju Viswanath Samson,3,0,4,1,1-4,4,0,0,3,8,0.3333333333
Sarabjit Singh Ladda,234,0,328,10,3-30,32.8,0,0,23.4,8.41,0.0427350427
Saurabh Sushant Bandekar,568,0,744,38,4-25,19.57,2,0,14.94,7.85,0.0669014085
Sayed Iqbal Abdulla,1599,2,1832,76,5-10,24.1,1,1,21.03,6.87,0.0475297061
Scott Bernard Styris,2963,2,3637,125,3-5,29.09,0,0,23.7,7.36,0.0421869727
Scott Michael Boland,396,0,530,21,3-26,25.23,0,0,18.85,8.03,0.053030303
Sean Anthony Abbott,703,0,1035,36,3-8,28.75,0,0,19.52,8.83,0.0512091038
Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,1912,6,2036,97,4-26,20.98,2,0,19.71,6.38,0.0507322176
Separamadu Lasith Malinga Swarnajith,4835,13,5393,299,6-7,18.03,8,4,16.17,6.69,0.0618407446
Shadab Bashir Jakati,1572,1,1971,70,5-17,28.15,2,1,22.45,7.52,0.0445292621
Shahbaz Nadeem,1812,4,1991,70,3-16,28.44,0,0,25.88,6.59,0.0386313466
Shakib Al Hasan,4419,9,4973,242,6-6,20.54,6,2,18.26,6.75,0.0547635212
Shalabh Jagdishprasad Srivastava,452,0,653,20,3-29,32.65,0,0,22.6,8.66,0.0442477876
Shane Edward Bond,939,4,1109,51,4-19,21.74,1,0,18.41,7.08,0.054313099
Shane Keith Warne,1548,1,1863,70,4-21,26.61,1,0,22.11,7.22,0.0452196382
Shane Michael Harwood,845,0,1080,48,3-13,22.5,0,0,17.6,7.66,0.0568047337
Shane Robert Watson,3490,5,4471,172,4-15,25.99,2,0,20.29,7.68,0.0492836676
Shanthakumaran Sreesanth,1192,6,1639,50,3-29,32.78,0,0,23.84,8.25,0.0419463087
Shardul Narendra Thakur,262,0,340,16,2-11,21.25,0,0,16.37,7.78,0.0610687023
Shaun Edward Marsh,12,0,13,0,0-2,NA,NA,NA,NA,6.5,0
Shaun Maclean Pollock,937,4,996,45,3-12,22.13,0,0,20.82,6.37,0.0480256137
Shaun William Tait,3600,7,4737,214,5-32,22.13,3,1,16.82,7.89,0.0594444444
Shikhar Dhawan,48,0,66,4,1-7,16.5,0,0,12,8.25,0.0833333333
Shivam Sharma,163,0,215,9,3-7,23.88,0,0,18.11,7.91,0.0552147239
Shivil Kaushik,138,0,192,6,3-20,32,0,0,23,8.34,0.0434782609
Shoaib Akhtar,804,5,978,44,5-23,22.22,2,1,18.27,7.29,0.0547263682
Shoaib Malik,2486,6,2916,114,5-13,25.57,1,2,21.8,7.03,0.0458567981
Shoaib Shabbir Shaikh,84,0,141,4,3-27,35.25,0,0,21,10.07,0.0476190476
Shrikant Bhaskar Wagh,629,1,792,39,4-26,20.3,1,0,16.12,7.55,0.0620031797
Shrikant Shrihari Mundhe,463,1,626,26,3-22,24.07,0,0,17.8,8.11,0.0561555076
Siddharth Dilip Chitnis,72,0,114,4,2-40,28.5,0,0,18,9.5,0.0555555556
Siddharth Kaul,864,2,942,47,4-14,20.04,1,0,18.38,6.54,0.0543981481
Siddharth Kishorkumar Trivedi,2103,3,2692,103,4-25,26.13,3,0,20.41,7.68,0.048977651
Simon Mathew Katich,18,0,29,0,0-4,NA,NA,NA,NA,9.66,0
Sohail Tanvir,4892,8,5903,238,6-14,24.8,4,1,20.55,7.23,0.0486508585
Sourav Chandidas Ganguly,573,1,756,29,3-27,26.06,0,0,19.75,7.91,0.0506108202
Sourav Subrata Sarkar,79,0,127,2,1-15,63.5,0,0,39.5,9.64,0.0253164557
Sreenath Aravind,1211,0,1576,72,4-14,21.88,3,0,16.81,7.8,0.0594549959
Sridharan Sriram,168,0,227,4,1-19,56.75,0,0,42,8.1,0.0238095238
Steven Peter Devereux Smith,785,1,992,51,4-13,19.45,2,0,15.39,7.58,0.0649681529
Stuart Terence Roger Binny,1033,1,1299,47,4-14,27.63,1,0,21.97,7.54,0.0454985479
Subramaniam Badrinath,18,0,22,1,1-16,22,0,0,18,7.33,0.0555555556
Sudeep Tyagi,364,1,480,16,4-45,30,1,0,22.75,7.91,0.043956044
Sumit Narwal,643,4,824,27,3-15,30.51,0,0,23.81,7.68,0.0419906687
Sunil Bandacharya Joshi,283,0,338,13,2-11,26,0,0,21.76,7.16,0.0459363958
Sunil Philip Narine,4478,17,4245,241,5-19,17.61,10,1,18.58,5.68,0.053818669
Sunny Suresh Gupta,254,0,287,8,2-15,35.87,0,0,31.75,6.77,0.031496063
Suresh Kumar Raina,1305,0,1553,50,4-26,31.06,1,0,26.1,7.14,0.0383141762
Suryakumar Ashok Yadav,132,0,140,6,2-11,23.33,0,0,22,6.36,0.0454545455
Swapnil Kamlesh Singh,432,0,509,28,6-19,18.17,0,1,15.42,7.06,0.0648148148
Syed Mohammad Shoaib Ahmed,102,0,152,5,2-20,30.4,0,0,20.4,8.94,0.0490196078
Tabraiz Shamsi,1195,1,1436,57,4-10,25.19,2,0,20.96,7.21,0.0476987448
Taduri Prakashchandra Sudhindra,637,3,717,35,5-30,20.48,1,1,18.2,6.75,0.0549450549
Tanmay Manoj Srivastava,24,0,26,0,0-13,NA,NA,NA,NA,6.5,0
Tanmay Mishra,42,0,58,3,3-25,19.33,0,0,14,8.28,0.0714285714
Taruwar Kohli,191,0,217,9,2-20,24.11,0,0,21.22,6.81,0.0471204188
Tatenda Taibu,24,0,41,0,0-20,NA,NA,NA,NA,10.25,0
Tillakaratne Mudiyanselage Dilshan,1564,1,1892,64,3-16,29.56,0,0,24.43,7.25,0.0409207161
Timil Kaushik Patel,134,0,141,10,3-13,14.1,0,0,13.4,6.31,0.0746268657
Timothy Grant Southee,2591,7,3532,135,6-16,26.16,0,2,19.19,8.17,0.052103435
Tirumalasetti Laxminarayana Suman,426,0,563,17,2-14,33.11,0,0,25.05,7.92,0.0399061033
Travis Michael Head,109,0,160,6,3-16,26.66,0,0,18.16,8.8,0.0550458716
Trent Alexander Boult,1083,3,1434,52,3-19,27.57,0,0,20.82,7.94,0.0480147738
Tyron Henderson,1824,6,2195,93,4-29,23.6,1,0,19.61,7.22,0.0509868421
Udit Alok Birla,6,0,24,0,0-24,NA,NA,NA,NA,24,0
Umar Gul,2932,10,3602,188,5-6,19.15,8,2,15.59,7.37,0.0641200546
Umeshkumar Tilak Yadav,1989,5,2711,92,5-18,29.46,1,1,21.61,8.17,0.0462543992
Varun Raymond Aaron,970,2,1327,40,3-16,33.17,0,0,24.25,8.2,0.0412371134
Veer Pratap Singh,300,1,417,14,2-19,29.78,0,0,21.42,8.34,0.0466666667
Vidyut Sivaramakrishnan,210,0,242,14,4-24,17.28,1,0,15,6.91,0.0666666667
Vijay Shankar,201,0,299,8,2-12,37.37,0,0,25.12,8.92,0.039800995
Vijaykumar Yo Mahesh,929,2,1196,52,4-23,23,2,0,17.86,7.72,0.0559741658
Vikram Rajvir Singh,667,0,886,31,4-24,28.58,1,0,21.51,7.97,0.0464767616
Vikramjeet Malik,827,3,1012,44,3-18,23,0,0,18.79,7.34,0.0532043531
Vikrant Shyam Yeligati,78,0,109,2,2-23,54.5,0,0,39,8.38,0.0256410256
Virat Kohli,454,0,661,8,2-25,82.62,0,0,56.75,8.73,0.0176211454
Virender Sehwag,358,0,496,22,3-14,22.54,0,0,16.27,8.31,0.061452514
Visvajitsinh Dilipsinh Solanki,153,0,164,6,2-26,27.33,0,0,25.5,6.43,0.0392156863
Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,1131,5,1278,64,3-16,19.96,0,0,17.67,6.77,0.0565870911
Wayne Dillon Parnell,2912,7,3646,146,4-13,24.97,3,0,19.94,7.51,0.0501373626
Wilkin Arvind Mota,249,1,298,11,3-29,27.09,0,0,22.63,7.18,0.0441767068
Yalaka Gnaneswara Rao,114,0,162,1,1-18,162,0,0,114,8.52,0.0087719298
Yalaka Venugopal Rao,306,0,448,8,2-23,56,0,0,38.25,8.78,0.0261437908
Yashpal Singh,218,1,249,9,3-26,27.66,0,0,24.22,6.85,0.0412844037
Yogesh Nagar,285,0,350,21,3-13,16.66,0,0,13.57,7.36,0.0736842105
Yusuf Adam Abdulla,1187,4,1248,63,4-31,19.8,2,0,18.84,6.3,0.0530749789
Yusuf Khan Pathan,2121,1,2708,94,4-10,28.8,2,0,22.56,7.66,0.0443187176
Yuvraj Singh,1501,0,1816,79,4-29,22.98,2,0,19,7.25,0.0526315789
Yuzvendra Singh Chahal,1657,3,2021,85,4-25,23.77,1,0,19.49,7.31,0.0512975256
Zaheer Khan,2803,5,3489,129,4-17,27.04,2,0,21.72,7.46,0.0460221192
