Batsman_cluster,Bowler_cluster,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
2,6,0.406914893617,0.311170212766,0.063829787234,0.00265957446809,0.061170212766,0.0,0.0239361702128,0.0718085106383,0.0585106382979
2,7,0.427586206897,0.310344827586,0.064367816092,0.00229885057471,0.0390804597701,0.0,0.00689655172414,0.0942528735632,0.0551724137931
2,8,0.4125,0.3625,0.028125,0.0,0.06875,0.0,0.009375,0.071875,0.046875
2,9,0.361842105263,0.322368421053,0.0526315789474,0.0,0.111842105263,0.0,0.0328947368421,0.0789473684211,0.0394736842105
3,0,0.326354357498,0.346244438629,0.0565297042659,0.00366396231353,0.100497252028,0.0,0.0740643810521,0.0455378173253,0.0471080868882
3,1,0.296835760924,0.338021094927,0.0637870416876,0.00251130085384,0.127574083375,0.0,0.0773480662983,0.0351582119538,0.0587644399799
3,2,0.328968903437,0.338970721949,0.0585561011093,0.0038188761593,0.12293144208,0.0,0.0514639025277,0.0363702491362,0.0589198036007
3,3,0.264822134387,0.328063241107,0.0652173913043,0.00395256916996,0.158102766798,0.0,0.106719367589,0.0316205533597,0.0415019762846
3,4,0.35708350644,0.305151641047,0.0625259659327,0.00228500207727,0.117573743249,0.000415454923141,0.0571250519319,0.0388450353137,0.058994599086
3,5,0.271255060729,0.380566801619,0.0647773279352,0.00404858299595,0.0971659919028,0.0,0.0587044534413,0.0485829959514,0.0748987854251
3,6,0.345264183102,0.322132943755,0.0586803019235,0.00267835402971,0.116630143657,0.0,0.0579498417336,0.0392013635257,0.0574628682737
3,7,0.326075775759,0.330704611692,0.0630893193897,0.00325732899023,0.126521515515,0.000171438367907,0.0528030173153,0.0399451397223,0.0574318532488
3,8,0.365046227259,0.337309871757,0.0560691917686,0.00357888458097,0.102594691321,0.000298240381748,0.0441395764987,0.0390694900089,0.0518938264241
3,9,0.316484778863,0.34118322803,0.0591614014934,0.000574382538771,0.13095921884,0.0,0.0666283744974,0.0367604824813,0.0482481332567
4,0,0.339774557166,0.325281803543,0.0772946859903,0.00322061191626,0.0740740740741,0.0,0.0595813204509,0.0756843800322,0.0450885668277
4,1,0.304761904762,0.307936507937,0.0634920634921,0.0,0.111111111111,0.0,0.0761904761905,0.0857142857143,0.0507936507937
4,2,0.317290552585,0.339572192513,0.0748663101604,0.0017825311943,0.0882352941176,0.0,0.0392156862745,0.0668449197861,0.072192513369
4,3,0.315789473684,0.394736842105,0.0789473684211,0.0,0.0921052631579,0.0,0.0394736842105,0.0394736842105,0.0394736842105
4,4,0.344303797468,0.339240506329,0.0620253164557,0.00126582278481,0.079746835443,0.0,0.0316455696203,0.0886075949367,0.053164556962
4,5,0.297619047619,0.327380952381,0.0654761904762,0.0,0.077380952381,0.0,0.0535714285714,0.113095238095,0.0654761904762
4,6,0.316176470588,0.325,0.0602941176471,0.00441176470588,0.113235294118,0.0,0.0441176470588,0.0573529411765,0.0794117647059
4,7,0.291092745638,0.348943985308,0.0771349862259,0.00642791551882,0.103764921947,0.0,0.0495867768595,0.0752984389348,0.0477502295684
4,8,0.350604490501,0.345423143351,0.0552677029361,0.00345423143351,0.0414507772021,0.0,0.0362694300518,0.105354058722,0.0621761658031
4,9,0.316017316017,0.406926406926,0.0779220779221,0.004329004329,0.0779220779221,0.0,0.0519480519481,0.038961038961,0.025974025974
5,0,0.441860465116,0.372093023256,0.0232558139535,0.0,0.0232558139535,0.0,0.0232558139535,0.0697674418605,0.046511627907
5,1,0.387096774194,0.290322580645,0.0322580645161,0.0322580645161,0.0645161290323,0.0,0.0,0.0645161290323,0.129032258065
5,2,0.483516483516,0.274725274725,0.010989010989,0.0,0.032967032967,0.0,0.0,0.10989010989,0.0879120879121
5,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
