Bowler_name,Balls,Wickets,Economy,CLUSTER
M Ashwin,309,17,7.14,9
MA Khote,132,6,8.5,3
M Muralitharan,3705,179,6.38,4
NLTC Perera,2878,155,8.37,7
NJ Rimmington,1548,82,7.85,0
NL McCullum,3162,157,7.18,7
NM Coulter-Nile,1634,88,7.74,0
ND Doshi,1008,68,6.8,6
NK Patel,222,11,8.67,9
N Rana,36,1,10.16,3
OA Shah,57,5,8.21,3
Padmanabhan Prasanth,955,63,5.98,6
DP Vijaykumar,342,10,8.17,9
Palani Amarnath,318,19,9.2,9
Pankaj Singh,845,33,7.61,1
P Sahu,129,4,7.67,3
Parvez Rasool,810,27,6.88,1
P Awana,1359,77,7.6,0
PM Sarvesh Kumar,30,1,8.4,3
PJ Cummins,1093,57,7.62,6
PC Valthaty,247,11,8.3,9
PD Collingwood,1372,81,7.09,0
P Negi,1049,48,7.48,6
Pawan Suyal,353,12,7.93,9
PP Chawla,3684,182,7.38,4
PJ Sangwan,1300,61,7.56,6
PP Ojha,2771,148,7.13,7
P Parameswaran,707,33,7.74,1
P Kumar,3423,130,7.42,4
PV Tambe,1140,59,7.03,6
Rahil Akhilahmed Shaikh,6,0,11,3
R Shukla,529,24,8.22,1
R Sharma,1590,80,7.11,0
R Tewatia,72,3,7.5,3
RV Gomez,552,17,7.88,1
R Sathish,487,20,7.23,9
R Bhatia,2364,103,7.17,2
R Bishnoi,6,0,10,3
Rajesh Vithal Pawar,132,6,8.13,3
RR Bhatkal,297,17,7.65,9
RR Powar,450,14,7.49,9
RR Sarwan,18,2,7.33,3
S Gopal,217,12,7.85,9
Ranadeb Ranjit Bose,234,11,8.56,9
R Vinay Kumar,3028,155,7.91,7
R Ashwin,4150,200,6.74,8
RS Bopara,3262,165,7.35,4
R Rampaul,2446,145,7.34,7
RA Jadeja,2777,119,7.67,7
Raymond William Price,1464,58,6.39,0
RS Sodhi,96,5,7.87,3
RT Ponting,12,1,11.5,3
R Dhawan,1270,50,7.4,6
RJ Quiney,6,0,13,3
