Batsman_name,avgScore,avgStrikeRate,CLUSTER
JJ van der Wath,16.57,127.51,4
NS Naik,25.0,123.45,0
Ishan Kishan,14.57,93.26,2
JD Unadkat,15.75,141.57,3
MS Dhoni,37.53,135.82,3
S Ladda,2.5,41.66,5
SR Watson,30.11,139.72,3
T Taibu,25.2,106.65,8
WA Mota,15.2,91.56,2
AL Menaria,17.8,114.54,8
I Malhotra,14.85,97.19,2
LA Carseldine,31.36,125.21,7
RE van der Merwe,20.3,128.23,4
SJ Srivastava,2.0,85.71,2
RJ Quiney,16.93,115.25,8
DL Vettori,16.01,119.65,4
DT Christian,21.78,132.27,7
JO Holder,13.09,125.94,4
KC Sangakkara,29.23,126.9,7
S Kaul,21.0,105.0,8
BJ Hodge,36.72,131.25,7
EJG Morgan,26.84,128.66,7
IK Pathan,23.02,123.35,0
DT Patil,18.23,113.94,8
JJ Bumrah,8.5,82.92,2
SP Narine,11.13,122.62,4
MK Tiwary,29.61,113.32,0
R Vinay Kumar,12.74,122.04,4
YS Chahal,6.2,75.6,5
NLTC Perera,18.61,141.46,3
CR Brathwaite,14.22,153.29,9
NJ Rimmington,10.62,105.59,8
Kamran Akmal,25.18,128.29,7
AB Dinda,4.56,67.59,5
SN Thakur,11.0,104.76,8
DH Yagnik,17.46,113.38,8
S Sreesanth,9.12,76.84,2
V Pratap Singh,0.5,33.33,1
A Mishra,13.52,96.43,2
Lovesh Ablash,1.0,50.0,5
AR Patel,18.63,132.54,4
BJ Rohrer,26.84,133.33,7
P Dogra,25.26,110.6,0
P Kumar,12.03,118.36,4
KV Sharma,21.18,123.1,0
LA Pomersbach,26.14,129.91,7
MJ Guptill,34.21,127.92,7
SB Styris,25.76,134.58,3
AG Murtaza,19.83,86.23,2
A Singh,2.16,54.16,5
DS Lehmann,29.3,117.95,0
Kedar Hemant Devdhar,21.62,115.77,0
LMP Simmons,30.63,115.61,0
AA Noffke,14.61,139.15,4
Mashrafe Mortaza,13.28,130.7,4
MA Starc,8.26,87.32,2
TM Srivastava,22.1,113.82,0
A Zampa,5.3,93.24,2
DJ Thornely,21.02,117.52,0
W Jaffer,28.0,129.14,7
CA Pujara,25.66,105.81,8
Krishmar Santokie,8.58,92.99,2
KP Appanna,13.0,130.0,4
MS Bisla,21.7,110.7,8
PA Patel,22.34,120.0,0
RR Sarwan,19.3,103.81,8
J Botha,19.62,112.13,8
MS Gony,14.13,144.65,9
ND Doshi,2.0,29.41,1
R Ninan,3.0,50.0,5
SMSM Senanayake,10.36,93.5,2
DR Martyn,29.16,149.57,3
John Wayne Hastings,15.65,152.13,9
Misbah-ul-Haq,34.07,118.69,0
SW Tait,5.82,81.09,2
AP Majumdar,18.05,94.75,2
LRPL Taylor,30.6,133.4,7
Andre Nel,10.33,137.16,4
BB Sran,21.0,190.9,6
NM Coulter-Nile,14.82,126.29,4
A Chandila,18.87,105.59,8
AA Bilakhia,23.56,107.71,8
PC Valthaty,23.57,126.5,7
AA Jhunjhunwala,18.15,103.96,8
JD Ryder,26.36,147.65,3
LR Shukla,20.7,120.63,0
MDKJ Perera,20.76,126.22,4
SN Khan,24.8,168.7,9
Sandeep Sharma,20.0,66.66,5
Tabraiz Shamsi,4.85,54.83,5
AB Agarkar,14.3,125.43,4
MV Boucher,28.12,115.5,0
SPD Smith,28.82,126.04,7
DPMD Jayawardene,28.61,129.92,7
Sachin Baby,19.61,130.78,4
VRV Singh,13.0,125.8,4
WP Saha,24.82,130.64,7
LJ Wright,28.54,145.98,3
OA Shah,32.79,125.06,7
SS Tiwary,30.3,121.87,7
DR Smith,26.23,127.55,7
KP Pietersen,34.74,136.13,3
A Kumble,11.5,77.96,2
RG Sharma,33.38,131.68,7
SV Samson,25.48,118.32,0
Aavishkar Madhav Salvi,8.0,69.56,5
B Laughlin,6.37,94.44,2
RR Rossouw,26.78,129.91,7
S Sohal,18.92,116.93,0
Yashpal Singh,24.94,102.31,8
Gurinder Singh Sandhu,6.25,78.12,2
CL White,30.56,127.99,7
R McLaren,19.79,110.94,8
HH Gibbs,25.29,123.22,0
Jagrit Anand,18.27,95.26,2
MEK Hussey,37.45,124.9,7
Parvez Rasool,18.38,97.15,8
Ankit Sharma,9.89,112.57,8
KM Jadhav,24.53,138.45,3
KC Cariappa,13.0,118.18,4
Mandeep Singh,25.65,122.62,0
M Vijay,25.76,121.82,0
AB de Villiers,33.47,144.58,3
BJ Haddin,24.06,125.14,7
TM Dilshan,27.04,122.79,0
Abhinav Kumar,56.0,186.66,6
S Anirudha,25.54,123.42,0
WD Parnell,18.09,121.52,0
S Dhawan,30.7,119.38,0
UT Khawaja,31.93,124.7,7
Michael John Buchanan,15.0,127.65,4
M Klinger,38.91,127.03,7
MM Sharma,8.0,106.66,8
Q de Kock,33.95,135.49,3
UA Birla,24.09,107.94,8
Y Venugopal Rao,23.55,121.71,0
AS Raut,20.44,113.93,0
Mohammad Ashraful,23.21,117.54,0
N Rana,34.0,149.86,3
SM Harwood,16.83,132.89,4
H Das,18.4,96.84,8
SL Malinga,6.83,97.95,2
SE Marsh,40.89,129.2,7
S Chanderpaul,23.52,105.7,8
STR Binny,19.92,127.49,4
V Kohli,41.69,133.09,7
TR Birt,22.79,129.08,7
Sourav Subrata Sarkar,0.0,0.0,1
MD Mishra,20.43,133.18,4
RJ Peterson,16.41,111.6,8
Salman Butt,33.07,111.27,0
CJ Jordan,18.96,120.95,0
Shahid Afridi,19.02,155.7,9
A Flintoff,22.76,142.88,3
D Salunkhe,16.5,137.5,4
IC Pandey,8.0,136.58,4
JH Kallis,30.88,112.45,0
MC Juneja,31.1,126.04,7
M Muralitharan,3.37,73.63,5
S Badrinath,28.05,111.5,0
RG More,5.0,62.5,5
Brett Geeves,22.16,135.71,3
Mohammad Asif,4.33,86.66,2
BAW Mendis,5.34,69.49,5
B Lee,13.86,131.23,4
HM Amla,31.71,126.33,7
Raymond William Price,7.25,79.09,2
M de Lange,10.5,118.86,4
M Kartik,12.8,110.34,8
Pankaj Dharmani,9.4,111.9,8
BE Hendricks,7.0,67.74,5
YA Abdulla,8.66,72.22,5
Azhar Mahmood,25.56,135.32,3
SA Abbott,9.54,98.7,2
CJ McKay,12.75,120.85,4
JDS Neesham,26.72,137.74,3
DJ Harris,29.77,127.51,7
Padmanabhan Prasanth,19.0,133.8,4
RR Pant,24.75,130.26,7
RN ten Doeschate,29.34,135.87,3
BMAJ Mendis,22.1,121.46,0
Jalaj Sahay Saxena,15.77,86.54,2
MF Maharoof,17.93,119.41,0
AC Gilchrist,27.03,140.28,3
Benjamin William Hilfenhaus,8.93,93.05,2
Iqbal Abdulla,13.75,98.8,8
CK Kapugedera,21.63,131.33,7
GJ Bailey,28.38,131.14,7
Younis Khan,30.55,117.3,0
AM Nayar,20.92,122.35,0
