Batsman_name,avgScore,avgStrikeRate,CLUSTER
Balachandra Akhil,17.83,148.61,9
Rahul Artiprasad Shukla,9.83,109.25,8
Asadullah Khan Pathan,23.42,148.75,9
Doddapaneni Kalyankrishna,2.0,50.0,5
Colin Alexander Ingram,27.45,133.66,7
Scott Michael Boland,17.0,113.33,8
Nathan Leslie McCullum,16.51,125.91,4
Gurkeerat Singh Mann,21.52,122.98,0
Rajesh Vithal Pawar,2.33,50.0,5
Shrikant Shrihari Mundhe,10.33,118.32,4
Faiz Yakub Fazal,20.36,105.41,8
Raiphi Vincent Gomez,23.61,130.48,7
Ranadeb Ranjit Bose,3.5,140.0,4
Shivam Sharma,5.66,94.44,2
Michael John Clarke,21.05,108.22,8
Palani Amarnath,1.0,33.33,1
Rajagopal Sathish,19.05,129.51,4
Shrikant Bhaskar Wagh,13.92,102.84,8
Ashish Nehra,5.3,67.64,5
Shivil Kaushik,0.0,0.0,1
Abrar Anjum Kazi,6.5,144.44,9
Adam Charles Voges,31.27,126.05,7
Mayank Anurag Agarwal,22.72,127.16,7
Dale Willem Steyn,8.0,114.28,8
Moises Constantino Henriques,24.39,123.74,0
Simon Mathew Katich,30.28,126.55,7
Tyron Henderson,20.14,143.06,3
Vijay Shankar,10.58,98.44,2
Trent Alexander Boult,4.14,61.7,5
Vidyut Sivaramakrishnan,20.5,129.74,4
Bodapati Apparao Sumanth,27.66,122.66,0
Ishant Sharma,9.0,81.81,2
Swapnil Kamlesh Singh,14.88,114.52,8
Shoaib Malik,37.95,122.94,7
Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,10.27,122.51,4
Sohail Tanvir,16.28,120.44,4
Yogesh Vijay Takawale,29.21,109.44,0
Adrian Dimitri Mascarenhas,19.09,127.32,4
Harbhajan Singh,16.55,138.81,4
Rahul Sharma,5.03,98.49,2
Rajesh Kinyaram Bishnoi,20.71,149.48,9
Eklavya Rakesh Dwivedi,37.57,131.28,7
Pravin Vijay Tambe,9.0,53.73,5
Gagandeep Singh Toor,12.0,88.88,2
Saurabh Sushant Bandekar,13.39,103.7,8
Taduri Prakashchandra Sudhindra,12.5,94.93,2
Ambati Thirupathi Rayudu,24.79,122.4,0
Siddharth Kishorkumar Trivedi,5.91,92.2,2
Andre Dwayne Russell,24.55,166.53,9
Glenn Donald McGrath,3.0,50.0,5
Mohammed Shami,3.66,62.85,5
Anirudh Singh,10.77,89.81,2
Yusuf Khan Pathan,28.41,144.49,3
George Bradley Hogg,14.78,106.58,8
Jerome Everton Taylor,10.23,108.75,8
Kathuria Anureet Singh,8.75,81.39,2
Stephen Paul Fleming,23.14,121.91,0
Graeme Craig Smith,29.86,123.08,7
James Edward Charles Franklin,28.38,124.93,7
Virender Sehwag,26.89,147.83,3
Pankaj Singh,5.45,69.76,5
Kane Stuart Williamson,27.01,118.84,0
Mohammad Imran Tahir,9.07,122.91,4
Lindamlilage Prageeth Chamara Silva,24.46,119.98,0
Umar Gul,8.84,105.15,8
Amit Uniyal,18.0,75.0,2
Ramsawamy Shreyas Gopal,17.16,117.04,0
Justin Miles Kemp,28.45,124.44,7
Shane Keith Warne,9.54,92.1,2
Charl Kenneth Langeveldt,10.25,85.41,2
Christopher Henry Gayle,42.03,150.66,3
Gade Hanuma Vihari,21.02,106.93,8
Ramesh Rajaram Powar,18.0,102.85,8
Suryakumar Ashok Yadav,22.26,129.45,7
Darren Julius Garvey Sammy,19.77,138.3,3
Karun Kaladharan Nair,23.58,122.3,0
Yalaka Gnaneswara Rao,22.57,123.98,0
Dirk Peter Nannes,8.25,83.54,2
Luke Ronchi,18.64,139.8,3
Peter Stephen Patrick Handscomb,27.05,112.19,0
Richard Ernst Levi,28.16,142.95,3
Yuvraj Singh,26.45,131.05,7
Shreevats Pratyush Goswami,19.04,94.3,2
Bharat Chipli,21.57,117.35,0
David Johan Jacobs,25.89,117.69,0
Dillon du Preez,20.21,130.52,4
Farhaan Behardien,29.79,124.28,7
Johannes Jacobus van der Wath,16.57,127.51,4
Nikhil Shankar Naik,25.0,123.45,0
Ishan Pranavkumarpandey Kishan,14.57,93.26,2
Jaydev Dipakbhai Unadkat,15.75,141.57,3
Mahendra Singh Dhoni,37.53,135.82,3
Sarabjit Singh Ladda,2.5,41.66,5
Shane Robert Watson,30.11,139.72,3
Tatenda Taibu,25.2,106.65,8
Wilkin Arvind Mota,15.2,91.56,2
Ashok Lakshminarayan Menaria,17.8,114.54,8
Ishan Malhotra,14.85,97.19,2
Lee Andrew Carseldine,31.36,125.21,7
Roelof Erasmus van der Merwe,20.3,128.23,4
Shalabh Jagdishprasad Srivastava,2.0,85.71,2
Robert John Quiney,16.93,115.25,8
Daniel Luca Vettori,16.01,119.65,4
Daniel Trevor Christian,21.78,132.27,7
